paper_id	name	clean_name	speakers/authors	author_list	num_authors	type	title_length_chars	title_length_words	abstract_length_chars	abstract_length_words	abstract_readability	total_text_length	total_word_count	paper_keywords	topic_cluster	cluster_theme	cluster_similarity	cluster_uniqueness	avg_similarity_to_others	novelty_score	impact_score	combined_score
2988	MANGO: Multimodal Attention-based Normalizing Flow Approach to Fusion Learning	MANGO: Multimodal Attention-based Normalizing Flow Approach to Fusion Learning	Thanh-Dat Truong, Christophe Bobda, Nitin Agarwal, Khoa Luu	['Thanh-Dat Truong', 'Christophe Bobda', 'Nitin Agarwal', 'Khoa Luu']	4	Poster	78	9	1426	176	0.0	1504	185	multimodal; attention; cross; data; image	10	Deep Learning Architecture	0.6768	0.5861	0.3335	28.792872190475464	0.0	28.792872190475464
1669	Equivariance Everywhere All At Once: A Recipe for Graph Foundation Models	Equivariance Everywhere All At Once: A Recipe for Graph Foundation Models	Ben Finkelshtein, Ismail Ceylan, Michael Bronstein, Ron Levie	['Ben Finkelshtein', 'Ismail Ceylan', 'Michael Bronstein', 'Ron Levie']	4	Poster	73	11	1414	204	0.0	1487	215	graph; node; foundation; local; datasets	6	Graph Learning	0.7139	0.5332	0.2388	16.14439058303833	12.5	28.64439058303833
513	Axial Neural Networks for Dimension-Free Foundation Models	Axial Neural Networks for Dimension-Free Foundation Models	Hyunsu Kim, Jonggeon Park, Joan Bruna, Hongseok Yang, Juho Lee	['Hyunsu Kim', 'Jonggeon Park', 'Joan Bruna', 'Hongseok Yang', 'Juho Lee']	5	Poster	58	7	1235	158	0.0	1293	165	neural; models; training; network; learning	0	Generative Models	0.7161	0.5633	0.3394	18.635416984558105	10.0	28.635416984558105
5730	Wasserstein Transfer Learning	Wasserstein Transfer Learning	Kaicheng Zhang, Sinian Zhang, Doudou Zhou, Yidong Zhou	['Kaicheng Zhang', 'Sinian Zhang', 'Doudou Zhou', 'Yidong Zhou']	4	Poster	29	3	999	135	0.0	1028	138	learning; data; probability; convergence; world	8	Optimization & Training	0.6165	0.641	0.2843	15.534139633178711	12.5	28.03413963317871
3292	Multi-modal contrastive learning adapts to intrinsic dimensions of shared latent variables	Multi-modal contrastive learning adapts to intrinsic dimensions of shared latent variables	Yu Gui, Cong Ma, Zongming Ma	['Yu Gui', 'Cong Ma', 'Zongming Ma']	3	Poster	90	11	845	105	0.0	935	116	learning; multi; theoretical; data; supervised	10	Deep Learning Architecture	0.6415	0.6078	0.3139	25.43384289741516	2.5	27.93384289741516
2310	Hierarchical Self-Attention: Generalizing Neural Attention Mechanics to Multi-Scale Problems	Hierarchical Self-Attention: Generalizing Neural Attention Mechanics to Multi-Scale Problems	Saeed Amizadeh, Sara Abdali, Yinheng Li, Kazuhito Koishida	['Saeed Amizadeh', 'Sara Abdali', 'Yinheng Li', 'Kazuhito Koishida']	4	Poster	92	9	1689	233	0.0	1781	242	data; multi; proposed; information; models	10	Deep Learning Architecture	0.6757	0.5868	0.3635	25.79718589782715	2.0	27.79718589782715
817	ChromFound: Towards A Universal Foundation Model for Single-Cell Chromatin Accessibiltiy Data	ChromFound: Towards A Universal Foundation Model for Single-Cell Chromatin Accessibiltiy Data	Yifeng Jiao, Yuchen Liu, Yu Zhang, Xin Guo, Yushuai Wu, Chen Jiang, Jiyang Li, Hongwei Zhang, LIMEI HAN, Xin Gao, Yuan Qi, Yuan Cheng	['Yifeng Jiao', 'Yuchen Liu', 'Yu Zhang', 'Xin Guo', 'Yushuai Wu', 'Chen Jiang', 'Jiyang Li', 'Hongwei Zhang', 'LIMEI HAN', 'Xin Gao', 'Yuan Qi', 'Yuan Cheng']	12	Poster	93	11	1433	183	0.0	1526	194	data; high; long; model; tasks	10	Deep Learning Architecture	0.4592	0.7198	0.2253	15.663270592689514	12.0	27.663270592689514
254	AI That Keeps Up: Workshop on Continual and Compatible Foundation Model Updates (CCFM)	AI That Keeps Up: Workshop on Continual and Compatible Foundation Model Updates (CCFM)	Sayna Ebrahimi, Jessica Echterhoff, Fartash Faghri, Saurabh Garg, Jeffrey Li, Amal Rannen-Triki	['Sayna Ebrahimi', 'Jessica Echterhoff', 'Fartash Faghri', 'Saurabh Garg', 'Jeffrey Li', 'Amal Rannen-Triki']	6	Workshop	86	13	753	99	0.0	839	112	models; tasks; challenges; learning; methods	8	Optimization & Training	0.5184	0.6985	0.2832	17.426291942596436	10.0	27.426291942596436
1130	Data-Juicer 2.0: Cloud-Scale Adaptive Data Processing for and with Foundation Models	Data-Juicer 2.0: Cloud-Scale Adaptive Data Processing for and with Foundation Models	Daoyuan Chen, Yilun Huang, Xuchen Pan, Jiang Nana, Haibin Wang, Yilei Zhang, Ce Ge, Yushuo Chen, Wenhao Zhang, Zhijian Ma, Jun Huang, Wei Lin, Yaliang Li, Bolin Ding, Jingren Zhou	['Daoyuan Chen', 'Yilun Huang', 'Xuchen Pan', 'Jiang Nana', 'Haibin Wang', 'Yilei Zhang', 'Ce Ge', 'Yushuo Chen', 'Wenhao Zhang', 'Zhijian Ma', 'Jun Huang', 'Wei Lin', 'Yaliang Li', 'Bolin Ding', 'Jingren Zhou']	15	Poster	84	11	1701	225	0.0	1785	236	data; models; like; dataset; generation	5	Computer Vision	0.5958	0.5777	0.3018	15.116782188415527	12.0	27.116782188415527
5494	Understanding protein function with a multimodal retrieval-augmented foundation model	Understanding protein function with a multimodal retrieval-augmented foundation model	Timothy Truong Jr, Tristan Bepler	['Timothy Truong Jr', 'Tristan Bepler']	2	Poster	85	9	1425	174	0.0	1510	183	protein; sequences; learning; language; natural	14	Optimization & Training	0.6162	0.5865	0.3272	19.535176753997803	7.5	27.035176753997803
3430	Non-Euclidean Foundation Models and Geometric Learning: Advancing AI Beyond Euclidean Frameworks	Non-Euclidean Foundation Models and Geometric Learning: Advancing AI Beyond Euclidean Frameworks	Menglin Yang, Neil He, Yifei Zhang, Weikang Qiu, Jiahong Liu, Melanie Weber, Rex Ying	['Menglin Yang', 'Neil He', 'Yifei Zhang', 'Weikang Qiu', 'Jiahong Liu', 'Melanie Weber', 'Rex Ying']	7	Workshop	96	11	994	127	0.0	1090	138	non; learning; models; data; llms	10	Deep Learning Architecture	0.5379	0.6714	0.3	16.848289966583252	10.0	26.848289966583252
250	AION-1: Omnimodal Foundation Model for Astronomical Sciences	AION-1: Omnimodal Foundation Model for Astronomical Sciences	Francois Lanusse, Liam Parker, Jeff Shen, Ollie Liu, Tom Hehir, Leopoldo Sarra, Lucas Meyer, Micah Bowles, Sebastian Wagner-Carena, Helen Qu, Siavash Golkar, Alberto Bietti, Hatim Bourfoune, Pierre Cornette, Keiya Hirashima, Geraud Krawezik, Ruben Ohana, Nicholas Lourie, Michael McCabe, Rudy Morel, Payel Mukhopadhyay, Mariel Pettee, Kyunghyun Cho, Miles Cranmer, Shirley Ho	['Francois Lanusse', 'Liam Parker', 'Jeff Shen', 'Ollie Liu', 'Tom Hehir', 'Leopoldo Sarra', 'Lucas Meyer', 'Micah Bowles', 'Sebastian Wagner-Carena', 'Helen Qu', 'Siavash Golkar', 'Alberto Bietti', 'Hatim Bourfoune', 'Pierre Cornette', 'Keiya Hirashima', 'Geraud Krawezik', 'Ruben Ohana', 'Nicholas Lourie', 'Michael McCabe', 'Rudy Morel', 'Payel Mukhopadhyay', 'Mariel Pettee', 'Kyunghyun Cho', 'Miles Cranmer', 'Shirley Ho']	25	Poster	60	7	930	117	0.0	990	124	models; data; using; tasks; diverse	10	Deep Learning Architecture	0.6126	0.6255	0.3182	16.549572467803955	10.0	26.549572467803955
1970	Foundation Cures Personalization: Improving Personalized Models’ Prompt Consistency via Hidden Foundation Knowledge	Foundation Cures Personalization: Improving Personalized Models’ Prompt Consistency via Hidden Foundation Knowledge	Yiyang Cai, Zhengkai Jiang, Yulong Liu, Chunyang Jiang, Wei Xue, Yike Guo, Wenhan Luo	['Yiyang Cai', 'Zhengkai Jiang', 'Yulong Liu', 'Chunyang Jiang', 'Wei Xue', 'Yike Guo', 'Wenhan Luo']	7	Poster	115	12	1739	215	0.0	1854	227	personalization; identity; consistency; prompt; models	10	Deep Learning Architecture	0.5255	0.6791	0.2881	16.398159503936768	10.0	26.398159503936768
5004	Tabula: A Tabular Self-Supervised Foundation Model for Single-Cell Transcriptomics	Tabula: A Tabular Self-Supervised Foundation Model for Single-Cell Transcriptomics	Jiayuan Ding, Jianhui Lin, Shiyu Jiang, Yixin Wang, Ziyang Miao, Zhaoyu Fang, Jiliang Tang, Min Li, Xiaojie Qiu	['Jiayuan Ding', 'Jianhui Lin', 'Shiyu Jiang', 'Yixin Wang', 'Ziyang Miao', 'Zhaoyu Fang', 'Jiliang Tang', 'Min Li', 'Xiaojie Qiu']	9	Poster	82	9	1386	173	0.0	1468	182	cell; privacy; single; modeling; data	8	Optimization & Training	0.563	0.6723	0.2837	18.74780583381653	7.5	26.24780583381653
615	Bisecle: Binding and Separation in Continual Learning for Video Language Understanding	Bisecle: Binding and Separation in Continual Learning for Video Language Understanding	Yue Tan, Xiaoqian Hu, Hao Xue, Celso de Melo, Flora Salim	['Yue Tan', 'Xiaoqian Hu', 'Hao Xue', 'Celso de Melo', 'Flora Salim']	5	Poster	86	11	1634	214	0.0	1720	225	models; tasks; learning; vlms; understanding	5	Computer Vision	0.715	0.4928	0.3861	21.140018939971924	5.0	26.140018939971924
3124	MIRA: Unified Medical Time Series Foundation Model for Real-World Health Data	MIRA: Unified Medical Time Series Foundation Model for Real-World Health Data	Hao Li, Bowen Deng, Chang Xu, ZhiYuan Feng, Viktor Schlegel, Yu-Hao Huang, Yizheng Sun, Jingyuan Sun, Kailai Yang, Yiyao Yu, Jiang Bian	['Hao Li', 'Bowen Deng', 'Chang Xu', 'ZhiYuan Feng', 'Viktor Schlegel', 'Yu-Hao Huang', 'Yizheng Sun', 'Jingyuan Sun', 'Kailai Yang', 'Yiyao Yu', 'Jiang Bian']	11	Poster	77	11	1591	202	0.0	1668	213	time; latent; model; tasks; distribution	10	Deep Learning Architecture	0.6039	0.6309	0.2969	16.08432173728943	10.0	26.08432173728943
2796	Learning Source-Free Domain Adaptation for Visible-Infrared Person Re-Identification	Learning Source-Free Domain Adaptation for Visible-Infrared Person Re-Identification	Yongxiang Li, Yanglin Feng, Yuan Sun, Dezhong Peng, Xi Peng, Peng Hu	['Yongxiang Li', 'Yanglin Feng', 'Yuan Sun', 'Dezhong Peng', 'Xi Peng', 'Peng Hu']	6	Poster	84	8	1622	211	0.0	1706	219	source; domain; target; target domain; adaptation	10	Deep Learning Architecture	0.5718	0.6506	0.2901	23.212948083877563	2.5	25.712948083877563
1581	Embodied Cognition Augmented End2End Autonomous Driving	Embodied Cognition Augmented End2End Autonomous Driving	Ling Niu, Xiaoji Zheng, han wang, Ziyuan Yang, Chen Zheng, Bokui Chen, Jiangtao Gong	['Ling Niu', 'Xiaoji Zheng', 'han wang', 'Ziyuan Yang', 'Chen Zheng', 'Bokui Chen', 'Jiangtao Gong']	7	Poster	55	6	1664	213	0.0	1719	219	end; driving; end end; human; networks	10	Deep Learning Architecture	0.6151	0.624	0.3167	25.539735078811646	0.0	25.539735078811646
3203	Modeling the Economic Impacts of AI Openness Regulation	Modeling the Economic Impacts of AI Openness Regulation	Tori Qiu, Benjamin Laufer, Jon Kleinberg, Hoda Heidari	['Tori Qiu', 'Benjamin Laufer', 'Jon Kleinberg', 'Hoda Heidari']	4	Poster	55	8	1353	184	0.0	1408	192	open; model; fine; s; models	8	Optimization & Training	0.4183	0.7572	0.1781	5.326643705368042	19.5	24.826643705368042
4386	RoMA: Scaling up Mamba-based Foundation Models for Remote Sensing	RoMA: Scaling up Mamba-based Foundation Models for Remote Sensing	Fengxiang Wang, Yulin Wang, Di Wang, Haotian Wang, Mingshuo Chen, Hongzhen Wang, Haiyan Zhao, Yangang Sun, Shuo Wang, Long Lan, Wenjing Yang, Jing Zhang	['Fengxiang Wang', 'Yulin Wang', 'Di Wang', 'Haotian Wang', 'Mingshuo Chen', 'Hongzhen Wang', 'Haiyan Zhao', 'Yangang Sun', 'Shuo Wang', 'Long Lan', 'Wenjing Yang', 'Jing Zhang']	12	Poster	65	9	1579	199	0.0	1644	208	mamba; supervised; models; data; images	10	Deep Learning Architecture	0.695	0.5749	0.3543	14.720025062561035	10.0	24.720025062561035
5268	Towards Graph Foundation Models: Training on Knowledge Graphs Enables Transferability to General Graphs	Towards Graph Foundation Models: Training on Knowledge Graphs Enables Transferability to General Graphs	Kai Wang, Siqiang Luo, Caihua Shan, Yifei Shen	['Kai Wang', 'Siqiang Luo', 'Caihua Shan', 'Yifei Shen']	4	Poster	103	13	1391	192	0.0	1494	205	graph; reasoning; tasks; models; task	6	Graph Learning	0.7346	0.5195	0.3283	17.06156015396118	7.5	24.56156015396118
4990	Synthetic Series-Symbol Data Generation for Time Series Foundation Models	Synthetic Series-Symbol Data Generation for Time Series Foundation Models	Wenxuan Wang, Kai Wu, yujian li, Dan Wang, Xiaoyu Zhang	['Wenxuan Wang', 'Kai Wu', 'yujian li', 'Dan Wang', 'Xiaoyu Zhang']	5	Poster	73	9	921	116	0.0	994	125	series; data; foundation; time; performance	10	Deep Learning Architecture	0.5195	0.6827	0.2553	13.922194004058838	10.0	23.922194004058838
2220	GRAVER: Generative Graph Vocabularies for Robust Graph Foundation Models Fine-tuning	GRAVER: Generative Graph Vocabularies for Robust Graph Foundation Models Fine-tuning	Haonan Yuan, Qingyun Sun, Junhua Shi, Xingcheng Fu, Bryan Hooi, Jianxin Li, Philip S Yu	['Haonan Yuan', 'Qingyun Sun', 'Junhua Shi', 'Xingcheng Fu', 'Bryan Hooi', 'Jianxin Li', 'Philip S Yu']	7	Poster	84	10	1653	207	0.0	1737	217	graph; domains; fine; generative; tasks	6	Graph Learning	0.7748	0.493	0.3771	13.90074872970581	10.0	23.90074872970581
3395	NeurIPT: Foundation Model for Neural Interfaces	NeurIPT: Foundation Model for Neural Interfaces	Zitao Fang, Chenxuan Li, Hongting Zhou, Shuyang Yu, Guodong DU, Ashwaq Qasem, Yang Lu, Jing Li, Junsong Zhang, Sim Kuan Goh	['Zitao Fang', 'Chenxuan Li', 'Hongting Zhou', 'Shuyang Yu', 'Guodong DU', 'Ashwaq Qasem', 'Yang Lu', 'Jing Li', 'Junsong Zhang', 'Sim Kuan Goh']	10	Poster	47	6	1899	234	0.0	1946	240	eeg; temporal; state; based; task	10	Deep Learning Architecture	0.6579	0.5977	0.3023	13.368488788604736	10.5	23.868488788604736
4587	Self-Guided Hierarchical Exploration for Generalist Foundation Model Web Agents	Self-Guided Hierarchical Exploration for Generalist Foundation Model Web Agents	Qianlan Yang, Xiangjun Wang, Danielle Perszyk, Yu-Xiong Wang	['Qianlan Yang', 'Xiangjun Wang', 'Danielle Perszyk', 'Yu-Xiong Wang']	4	Poster	79	9	1265	160	0.0	1344	169	agents; self; level; training; method	7	Reinforcement Learning	0.6831	0.5352	0.3189	16.267516613006592	7.5	23.767516613006592
5708	VMDT: Decoding the Trustworthiness of Video Foundation Models	VMDT: Decoding the Trustworthiness of Video Foundation Models	Yujin Potter, Zhun Wang, Nicholas Crispino, Kyle Montgomery, Alexander Xiong, Ethan Chang, Francesco Pinto, Yuqi Chen, Rahul Gupta, Morteza Ziyadi, Christos Christodoulopoulos, Bo Li, Chenguang Wang, Dawn Song	['Yujin Potter', 'Zhun Wang', 'Nicholas Crispino', 'Kyle Montgomery', 'Alexander Xiong', 'Ethan Chang', 'Francesco Pinto', 'Yuqi Chen', 'Rahul Gupta', 'Morteza Ziyadi', 'Christos Christodoulopoulos', 'Bo Li', 'Chenguang Wang', 'Dawn Song']	14	Poster	61	8	1297	174	0.0	1358	182	video; models; image; introduce; using	11	Optimization & Training	0.694	0.5424	0.2759	14.223902702331543	9.5	23.723902702331543
5584	UrbanDiT: A Foundation Model for Open-World Urban Spatio-Temporal Learning	UrbanDiT: A Foundation Model for Open-World Urban Spatio-Temporal Learning	Yuan Yuan, Chonghua Han, Jingtao Ding, Guozhen Zhang, Depeng Jin, Yong Li	['Yuan Yuan', 'Chonghua Han', 'Jingtao Ding', 'Guozhen Zhang', 'Depeng Jin', 'Yong Li']	6	Poster	74	9	1600	206	0.0	1674	215	temporal; data; task; learning; effectively	7	Reinforcement Learning	0.6085	0.5862	0.3139	16.06584334373474	7.5	23.56584334373474
5719	VT-FSL: Bridging Vision and Text with LLMs for Few-Shot Learning	VT-FSL: Bridging Vision and Text with LLMs for Few-Shot Learning	Wenhao Li, Qiangchang Wang, Xianjing Meng, Zhibin Wu, Yilong Yin	['Wenhao Li', 'Qiangchang Wang', 'Xianjing Meng', 'Zhibin Wu', 'Yilong Yin']	5	Poster	64	10	1979	255	0.0	2043	265	support; visual; novel; llms; learning	5	Computer Vision	0.7513	0.467	0.3557	23.494741916656494	0.0	23.494741916656494
2998	Mars-Bench: A Benchmark for Evaluating Foundation Models for Mars Science Tasks	Mars-Bench: A Benchmark for Evaluating Foundation Models for Mars Science Tasks	Mirali Purohit, Bimal Gajera, Vatsal Malaviya, Irish Mehta, Kunal Kasodekar, Jacob Adler, Steven Lu, Umaa Rebbapragada, Hannah Kerner	['Mirali Purohit', 'Bimal Gajera', 'Vatsal Malaviya', 'Irish Mehta', 'Kunal Kasodekar', 'Jacob Adler', 'Steven Lu', 'Umaa Rebbapragada', 'Hannah Kerner']	9	Poster	79	11	1507	195	0.0	1586	206	mars; models; science; tasks; limited	5	Computer Vision	0.6385	0.5473	0.3299	13.446127653121948	10.0	23.44612765312195
668	BrainOmni: A Brain Foundation Model for Unified EEG and MEG Signals	BrainOmni: A Brain Foundation Model for Unified EEG and MEG Signals	Qinfan Xiao, Ziyun Cui, Chi Zhang, SiQi Chen, Wen Wu, Andrew Thwaites, Alexandra Woolgar, Bowen Zhou, Chao Zhang	['Qinfan Xiao', 'Ziyun Cui', 'Chi Zhang', 'SiQi Chen', 'Wen Wu', 'Andrew Thwaites', 'Alexandra Woolgar', 'Bowen Zhou', 'Chao Zhang']	9	Poster	67	11	1799	236	0.0	1866	247	meg; models; specific; model; data	10	Deep Learning Architecture	0.6469	0.6045	0.2764	13.412505626678467	10.0	23.412505626678467
665	BrainMoE: Cognition Joint Embedding via Mixture-of-Expert Towards Robust Brain Foundation Model	BrainMoE: Cognition Joint Embedding via Mixture-of-Expert Towards Robust Brain Foundation Model	Ziquan Wei, Tingting Dan, Tianlong Chen, Guorong Wu	['Ziquan Wei', 'Tingting Dan', 'Tianlong Chen', 'Guorong Wu']	4	Poster	95	11	1675	231	0.0	1770	242	different; datasets; tasks; robust; existing	10	Deep Learning Architecture	0.6772	0.5859	0.3163	13.291229248046875	10.0	23.291229248046875
5415	TS-RAG: Retrieval-Augmented Generation based Time Series Foundation Models are Stronger Zero-Shot Forecaster	TS-RAG: Retrieval-Augmented Generation based Time Series Foundation Models are Stronger Zero-Shot Forecaster	Kanghui Ning, Zijie Pan, Yu Liu, Yushan Jiang, James Zhang, Kashif Rasul, Anderson Schneider, Lintao Ma, Yuriy Nevmyvaka, Dongjin Song	['Kanghui Ning', 'Zijie Pan', 'Yu Liu', 'Yushan Jiang', 'James Zhang', 'Kashif Rasul', 'Anderson Schneider', 'Lintao Ma', 'Yuriy Nevmyvaka', 'Dongjin Song']	10	Poster	108	12	1427	177	0.0	1535	189	time series; series; forecasting; time; diverse	14	Optimization & Training	0.6882	0.5379	0.3368	15.747284889221191	7.5	23.24728488922119
5811	With Limited Data for Multimodal Alignment, Let the STRUCTURE Guide You	With Limited Data for Multimodal Alignment, Let the STRUCTURE Guide You	Fabian Gröger, Shuo Wen, Huyen Le, Maria Brbic	['Fabian Gröger', 'Shuo Wen', 'Huyen Le', 'Maria Brbic']	4	Poster	71	11	1419	191	0.0	1490	202	retrieval; models; samples; existing; data	10	Deep Learning Architecture	0.7092	0.5662	0.354	20.663040161132812	2.5	23.163040161132812
5676	Vision Foundation Models as Effective Visual Tokenizers for Autoregressive Generation	Vision Foundation Models as Effective Visual Tokenizers for Autoregressive Generation	Anlin Zheng, Xin Wen, Xuanyang Zhang, Chuofan Ma, Tiancai Wang, Gang Yu, Xiangyu Zhang, Xiaojuan Qi	['Anlin Zheng', 'Xin Wen', 'Xuanyang Zhang', 'Chuofan Ma', 'Tiancai Wang', 'Gang Yu', 'Xiangyu Zhang', 'Xiaojuan Qi']	8	Poster	85	10	1151	152	0.0	1236	162	image; model; semantic; trained; s	4	Generative Models	0.7348	0.5013	0.3515	13.060657024383545	10.0	23.060657024383545
4399	RPG360: Robust 360 Depth Estimation with Perspective Foundation Models and Graph Optimization	RPG360: Robust 360 Depth Estimation with Perspective Foundation Models and Graph Optimization	Dongki Jung, Jaehoon Choi, Yonghan Lee, Dinesh Manocha	['Dongki Jung', 'Jaehoon Choi', 'Yonghan Lee', 'Dinesh Manocha']	4	Poster	93	12	1385	188	0.0	1478	200	depth; scale; approach; method; models	1	Computer Vision	0.7378	0.4993	0.2712	13.048956394195557	10.0	23.048956394195557
